surplus,expense_ratio,debt_pressure,cluster_id,risk_level,risk_band
-1150.4700000000003,136.87900294270383,4.031632463344424,2,1,Medium Risk
-2040.44,162.54337244516375,13.9217885999436,2,1,Medium Risk
-24.850000000000364,100.84777565502185,33.15433951965066,2,1,Medium Risk
306.3499999999999,91.26409052153109,13.76643597135842,1,0,Low Risk
1879.15,59.209832272236895,5.724928205050284,1,0,Low Risk
718.6699999999996,82.15987032040097,8.023056357502625,1,0,Low Risk
204.60999999999967,95.0642270441086,14.712033675475523,2,1,Medium Risk
-2380.2400000000007,174.32745123143175,16.382866439543214,0,2,High Risk
-147.96000000000004,103.10506997739822,2.167840826339791,1,0,Low Risk
744.0299999999997,79.22742539344854,17.96531901646942,1,0,Low Risk
-1036.8200000000006,127.05187713132484,8.253689947843693,2,1,Medium Risk
-1412.8400000000001,166.11974035820086,13.352271397750831,2,1,Medium Risk
1893.6,65.33721892321323,12.445175840026945,1,0,Low Risk
-2225.33,205.4328977665754,15.705987700529695,0,2,High Risk
-576.1599999999999,116.42749815384528,18.55791793664054,2,1,Medium Risk
-597.6700000000001,128.47973391531417,31.23397726081446,0,2,High Risk
-545.7100000000005,114.83855179258495,13.920302367000668,2,1,Medium Risk
-2454.18,230.25119547391716,29.232189959611286,0,2,High Risk
84.42000000000007,97.71671837092373,9.508264116344044,2,1,Medium Risk
1467.6799999999998,68.94673033833863,7.821502095706394,1,0,Low Risk
-1083.3400000000006,137.21257754480942,15.393202849664403,2,1,Medium Risk
-83.55999999999995,102.10344541136254,11.824202712125523,2,1,Medium Risk
858.0300000000007,83.29657280239834,8.343440045942552,1,0,Low Risk
959.8500000000004,76.72650828520301,7.480202317044192,1,0,Low Risk
1807.2899999999995,60.90215641819976,6.889808068396186,1,0,Low Risk
1140.2100000000005,76.53710261892365,16.198146772490908,1,0,Low Risk
1520.9399999999996,71.90919719191707,9.986757462087002,1,0,Low Risk
3259.8300000000004,46.051723538728105,6.939169318710271,1,0,Low Risk
994.8799999999997,77.50636454485026,9.955369053163734,1,0,Low Risk
1964.3200000000002,51.04815638114415,17.948743508208814,1,0,Low Risk
-644.81,120.38209513814915,11.94553058057093,2,1,Medium Risk
-953.5799999999999,131.99546363526554,12.26194151042156,2,1,Medium Risk
-544.9500000000003,115.49919083956439,13.623758884410936,2,1,Medium Risk
477.80999999999995,87.6055439257282,6.426409133002855,1,0,Low Risk
1214.9899999999998,67.38789664964919,15.801029638338191,1,0,Low Risk
821.5199999999995,84.85289318369131,6.094833514946687,1,0,Low Risk
782.0700000000006,85.17113294159806,8.080819572352516,1,0,Low Risk
825.0799999999995,80.70886300879826,11.238745005249019,1,0,Low Risk
762.9200000000001,84.04397047720433,15.520382148287423,1,0,Low Risk
47.69999999999982,98.92993904914877,8.76350755660443,2,1,Medium Risk
247.76999999999998,93.44996867341841,14.910924120939109,2,1,Medium Risk
-1134.5200000000004,128.84257999893225,22.380633991696943,2,1,Medium Risk
436.37999999999965,89.2179705432524,14.884527671602479,1,0,Low Risk
104.51999999999998,97.43584082194403,8.803809439697364,1,0,Low Risk
-718.3099999999995,117.28676424579929,17.88215418529767,2,1,Medium Risk
-3207.49,268.7291225006181,28.87052399564433,0,2,High Risk
-2673.32,211.28678414280304,28.58266831516241,0,2,High Risk
-257.84000000000015,106.84959527775344,17.833015878075926,2,1,Medium Risk
-602.5799999999999,116.97590164580998,18.02418287027907,2,1,Medium Risk
1096.1200000000003,76.78946153634402,13.400712756563776,1,0,Low Risk
-1201.3399999999997,135.4005822793762,12.240832635933945,2,1,Medium Risk
-871.9000000000005,120.44338151678215,3.6080141619479713,2,1,Medium Risk
-911.71,128.75820910587774,9.678070568344552,2,1,Medium Risk
1661.9500000000003,63.66035623543199,3.201133516130302,1,0,Low Risk
-1728.3899999999994,161.70793882010196,4.488882224411979,2,1,Medium Risk
1472.71,73.60048758189852,4.7069579012467395,1,0,Low Risk
564.6000000000004,86.15640370535648,14.46099224699761,1,0,Low Risk
225.54999999999973,94.52020514913643,11.801177348075695,1,0,Low Risk
